usage_id,customer_id,call_minutes,data_used_gb,sms_count,usage_date
1,2204,431.63,24.9,322,2024-05-30
2,3395,122.97,60.82,147,2024-12-14
3,8132,404.37,38.79,276,2025-01-16
4,6896,245.29,88.93,424,2024-11-11
5,8467,268.08,32.32,424,2024-07-17
6,7481,425.3,60.37,438,2025-03-20
7,802,373.08,26.87,95,2024-09-22
8,7060,484.66,74.52,249,2024-07-13
9,1725,33.48,13.62,264,2025-01-04
10,9738,446.76,60.61,284,2025-03-24
11,4451,69.95,44.51,490,2024-11-17
12,4556,343.94,58.22,459,2024-05-05
13,340,148.22,9.77,430,2025-04-10
14,8412,461.53,8.1,129,2024-11-16
15,252,41.55,38.77,143,2025-01-04
16,4522,497.92,51.02,76,2025-01-28
17,5030,403.46,4.62,406,2024-08-15
18,9193,445.11,16.02,477,2025-04-14
19,4607,11.37,14.63,97,2024-05-26
20,2256,457.9,64.3,183,2025-02-09
21,2693,204.64,39.26,237,2025-02-23
22,7885,272.99,96.1,8,2024-05-07
23,5903,31.3,69.36,351,2024-12-29
24,8131,382.82,64.09,364,2024-06-16
25,3393,231.83,67.44,104,2024-06-11
26,8694,214.3,54.96,397,2024-09-20
27,2347,135.62,34.22,479,2024-07-13
28,7751,55.83,46.26,173,2024-08-04
29,953,7.34,63.04,106,2024-06-07
30,3414,63.69,21.88,485,2025-04-14
31,5579,306.99,0.94,409,2024-08-04
32,6597,237.06,25.97,327,2024-09-27
33,2880,206.06,31.54,333,2025-02-20
34,8009,214.97,17.81,102,2024-10-14
35,8453,435.73,80.8,178,2024-05-20
36,8518,50.19,93.29,50,2024-10-19
37,1109,198.17,44.71,345,2024-10-30
38,86,183.0,35.87,86,2025-01-09
39,3031,475.11,86.37,413,2024-06-13
40,3044,130.99,93.56,410,2024-12-20
41,158,144.09,26.27,4,2025-02-16
42,6393,184.2,99.77,81,2024-07-03
43,7912,317.04,72.54,324,2024-07-04
44,697,241.32,87.21,17,2024-06-12
45,7370,120.61,39.29,87,2025-03-14
46,7403,311.81,14.02,218,2024-05-07
47,7291,319.58,78.91,122,2024-10-04
48,9698,353.01,46.65,50,2024-06-15
49,3051,195.67,2.23,189,2024-05-25
50,4452,22.86,24.56,74,2024-05-21
51,4981,13.39,88.81,69,2024-06-05
52,4779,380.35,68.43,400,2024-05-10
53,4546,491.59,94.76,496,2025-03-05
54,45,351.82,87.22,230,2025-01-09
55,9652,416.53,71.62,395,2024-10-04
56,6526,56.45,29.12,41,2024-10-20
57,4860,212.6,73.99,136,2025-02-13
58,8142,463.45,64.45,116,2024-07-13
59,5793,32.03,60.01,116,2024-08-30
60,9833,86.4,73.55,478,2025-04-04
61,486,162.5,65.85,338,2024-08-12
62,9437,498.1,22.44,194,2025-02-22
63,7383,27.82,35.93,411,2024-07-08
64,1349,186.9,65.78,458,2024-07-05
65,2995,52.78,82.82,175,2025-04-29
66,4565,15.45,52.5,421,2025-04-13
67,1139,51.54,18.97,18,2024-07-06
68,9430,251.58,19.95,33,2025-02-14
69,7829,372.5,65.37,248,2024-12-21
70,3434,320.86,31.65,330,2024-12-24
71,6996,263.26,3.86,147,2025-04-22
72,8291,431.76,23.17,426,2024-12-07
73,2099,106.0,42.02,114,2025-01-08
74,709,406.87,92.76,463,2024-11-21
75,9424,382.73,28.15,462,2024-11-26
76,7521,452.97,50.23,38,2024-08-24
77,1550,197.69,10.31,400,2024-11-24
78,4953,62.98,30.67,208,2024-07-03
79,2250,391.49,72.4,222,2025-01-30
80,81,331.84,22.86,394,2024-12-03
81,7402,469.97,77.11,242,2025-01-18
82,4340,66.89,6.36,283,2025-03-02
83,4842,61.22,47.06,160,2024-10-18
84,5743,436.79,92.0,424,2025-04-09
85,8673,318.47,43.76,225,2024-09-23
86,2281,110.01,22.96,367,2024-11-24
87,7183,213.83,73.64,267,2024-11-15
88,710,398.1,7.86,237,2024-05-22
89,4299,122.73,66.13,459,2024-11-03
90,2174,322.25,60.39,476,2024-11-04
91,5854,82.02,72.71,274,2024-07-21
92,2988,283.56,46.58,461,2025-02-13
93,3450,194.04,56.5,431,2024-08-28
94,4407,140.03,18.29,326,2025-04-18
95,7636,359.12,37.29,152,2024-08-06
96,5604,488.5,45.29,229,2024-12-24
97,8694,176.12,18.64,375,2024-11-20
98,9330,420.92,42.93,2,2025-02-23
99,480,248.33,63.15,257,2024-11-06
100,1340,385.37,31.72,293,2024-06-30
101,7504,374.84,22.01,455,2025-04-18
102,8345,178.48,8.56,55,2024-07-18
103,4052,244.13,34.52,128,2025-02-17
104,8416,154.57,98.39,159,2024-07-25
105,8990,279.19,67.42,223,2024-09-27
106,9195,12.11,63.31,42,2024-09-26
107,1552,391.15,51.58,11,2024-11-29
108,9714,372.41,26.78,445,2025-02-16
109,2694,411.59,57.51,130,2024-07-30
110,2577,385.56,13.57,499,2024-08-01
111,4476,108.06,13.01,12,2025-02-11
112,3924,339.87,69.18,371,2024-08-28
113,8639,194.36,97.58,413,2024-07-28
114,6215,332.91,97.41,26,2024-09-29
115,27,180.66,78.95,414,2024-06-11
116,4596,294.53,97.88,452,2024-12-10
117,8028,176.69,26.55,66,2024-07-07
118,849,373.96,63.92,327,2024-05-09
119,6705,319.36,57.47,445,2024-05-31
120,3854,360.99,22.29,414,2024-09-11
121,9401,449.94,46.4,178,2024-05-26
122,3329,135.72,94.35,329,2025-03-08
123,6180,115.86,93.67,431,2024-09-03
124,9970,156.98,70.46,102,2024-11-19
125,1945,234.5,91.31,133,2024-07-09
126,8978,321.75,79.91,98,2024-05-27
127,6955,90.3,33.83,297,2025-04-27
128,2262,58.5,91.38,482,2024-07-28
129,714,444.75,80.98,260,2025-01-18
130,2617,457.31,57.24,83,2025-04-01
131,237,403.85,72.69,101,2025-01-12
132,8186,371.58,63.31,426,2024-09-02
133,8545,119.69,44.29,374,2024-07-05
134,9209,250.02,43.8,55,2024-08-16
135,5059,406.57,16.38,285,2024-12-16
136,9556,362.09,6.23,63,2024-08-24
137,3509,58.79,90.35,9,2024-10-01
138,4518,397.66,15.17,478,2024-11-07
139,1792,0.53,78.28,394,2024-09-08
140,5800,171.18,70.15,95,2024-07-22
141,8699,497.2,8.9,66,2025-01-20
142,2496,299.55,65.1,270,2024-07-26
143,7824,179.58,72.23,17,2024-12-15
144,2551,170.25,87.13,38,2024-09-28
145,4953,146.67,66.07,412,2024-06-20
146,1043,437.23,45.72,478,2024-08-21
147,5617,495.59,38.88,118,2024-08-17
148,9494,322.84,0.34,112,2024-06-30
149,2809,440.1,44.47,95,2024-07-24
150,3872,156.24,73.89,171,2024-10-14
151,9698,179.73,78.98,348,2025-01-29
152,3360,476.69,84.96,181,2024-08-02
